Date,Band,Notable Support,Venue,Price,Comments,Went With,Festival?,Festival Lineups,Photos,Journal Key,OfficialVenue,Year,Month,Day,
07/10/2014,Manchester Orchestra,,O2 Shepherd's Bush Empire,£16.00,Incredible lineup,Stem / Dev,N,,,07/10/2014Shepherd's Bush Empire,Shepherd's Bush Empire,2014,10,7,07/10/2014
24/11/2014,Allo Darlin,,Scala,£13.50,We watched from up on the balcony,Stem / Dev,N,,,24/11/2014Scala,Scala,2014,11,24,24/11/2014
23/01/2015,Moose Blood,,The Borderline,£12.00,,Stem / Dev,N,,,23/01/2015The Borderline,The Borderline,2015,1,23,23/01/2015
05/04/2016,Weezer,,O2 Academy Brixton,£40.00,Went down the front!,Lizz / Stem / Dev,N,,,05/04/2016Brixton Academy,Brixton Academy,2016,4,5,05/04/2016
30/05/2016,Slam Dunk Festival,,Hereford University,£42.00,We watched Moose Blood through the fence as there was a massive queue to get in,Stem / Dev,Y,New Found Glory / Mayday Parade / Moose Blood / Trashboat / ROAM / Hit The Lights / As It Is / Real Friends / Set Your Goals / Four Year Strong / The Starting Line,,30/05/2016The Forum Hertfordshire,The Forum Hertfordshire,2016,5,30,30/05/2016
28/10/2017,Weezer,Ash,Wembley Arena,£45.00,"Had cocktails in a hotel lobby beforehand, and stayed in a hotel",Dev / Stem / Sally,N,,,28/10/2017Wembley Arena,Wembley Arena,2017,10,28,28/10/2017
10/03/2018,Moose Blood,,Roundhouse,£20.00,,Dev / Stem,N,,,10/03/2018Roundhouse,Roundhouse,2018,3,10,10/03/2018
27/05/2018,Slam Dunk Festival,,Hatfield House Park,£50.00,Four Year Strong played an acoustic set in the woods,Dev / Stem / Chris,Y,Good Charlotte / State Champs / Lower Than Atlantis / Moose Blood / Twin Atlantic / Say Anything / The Audition / Roam / As It Is / Zebrahead,,27/05/2018Hatfield House,Hatfield House,2018,5,27,27/05/2018
23/02/2019,Mayday Parade,The Wonder Years,Troxy,£25.00,,Dev / Stem,N,,,23/02/2019Troxy,Troxy,2019,2,23,23/02/2019
26/05/2019,Slam Dunk Festival,,Hatfield House Park,£59.50,Busted played secret set billed as Y3K. James Bourne retweeted my tweet.,Dev / Stem / Chris,Y,NOFX / The Menzingers / New Found Glory / Neck Deep / Real Friends / Tigers Jaw / A loss for words / The Get Up Kids / The Bomb Pops / Busted,,26/05/2019Hatfield House,Hatfield House,2019,5,26,26/05/2019
27/09/2019,Aaron West and the Roaring Twenties,,The Garage,£22.00,The Garage beer was dreadful,Dev / Stem,N,,,27/09/2019The Garage,The Garage,2019,9,27,27/09/2019
05/09/2021,Slam Dunk Festival,,Hatfield House Park,£65.00,Was on the rail for Frank Turner and a massive walking circle pit happened. Held in September due to Covid lockdown in May.,Meds / Laura / Gem / Phil / Dev / Stem / Chris,Y,A / McFly / Roam / As It Is / Mayday Parade / Statechamps / Frank Turner / Alkaline Trio / NOFX,,05/09/2021Hatfield House,Hatfield House,2021,9,5,05/09/2021
24/06/2022,Weezer,Fallout Boy / Greenday,Olympic Park,£80.00,Hella Mega Tour - Rivers got us backstage passes and we hung out,Sally / Dev / Stem,N,,,24/06/2022London Stadium,London Stadium,2022,6,24,24/06/2022
15/11/2023,The Wonder Years,Mississippi / Origami Angel,O2 Shepherd's Bush Empire,£22.50,The Greatest Generation 10th Anniversary Tour,Dev / Stem,N,,,15/11/2023Shepherd's Bush Empire,Shepherd's Bush Empire,2023,11,15,15/11/2023
18/11/2023,Symposium,A,Camden Electric Ballroom,£30.00,"Just like the old days, everyone went crazy",Meds / Dev / Stem,N,,,18/11/2023Electric Ballroom,Electric Ballroom,2023,11,18,18/11/2023
22/05/2024,Aaron West and the Roaring Twenties,Future Teens,Underworld Camden,£30.00,,Stem / Dev,N,,,22/05/2024The Underworld,The Underworld,2024,5,22,22/05/2024
09/07/2024,Spanish Love Songs,Press Club,La Fayette,£28.00,Went with Stem and Dev,Stem / Dev,N,,,09/07/2024Lafayette,Lafayette,2024,7,9,09/07/2024
24/05/2025,Slam Dunk Festival,,Hatfield House Park,£135.00,Got on the rail centre stage for The Starting Line.,Dev / Stem / Chris,Y,Sweet Pill / Hit The Lights / Sophie Powers / Kid Bookie / Knucklepuck / Winona Fighter / Heart Attack Man / Movements / The Starting Line / The Ataris / Hot Mulligan / New Found Glory / Neck Deep / Alkaline Trio,,24/05/2025Hatfield House,Hatfield House,2025,5,24,24/05/2025
29/06/2025,Weezer,Deftones,Crystal Palace Park,£0.00,Rivers got the whole family backstage passes. Met Rivers afterwards and Gabrielle from MRN.,Sally / Clara / Eleanor / Dev / Stem / Meds / Laura,N,,,29/06/2025Crystal Palace Park,Crystal Palace Park,2025,6,29,29/06/2025
31/07/2025,Nerf Herder,4ft Fingers,New Cross Inn,£22.00,"Went with Stem, Dev was sick so Fawad came.",Stem / Fawad,N,,,31/07/2025New Cross Inn,New Cross Inn,2025,7,31,31/07/2025
17/01/2026,The Wonder Years,Free Throw,o2 Kentish Town Forum,£37.50,No Closer To Heaven 10th Anniversary Tour.  Trains were a mess so had to drive to East Grinstead but it was worth it.,Kate / Chris / Dev / Stem,N,,,17/01/2026Kentish Town Forum,Kentish Town Forum,2026,1,17,17/01/2026
